cue,numFlash,targetLoc,ISI,response,RT,accuracy,sub,SDT
0,1,3,23,1,0.00219691699930991,1,jh,CR
1,1,4,11,2,0.00417716700030724,0,jh,FA
0,2,6,23,2,0.00216454099972907,1,jh,HI
0,2,2,35,1,0.00182787499943515,0,jh,MI
1,2,5,23,1,0.0014355829989654,0,jh,MI
0,1,1,11,1,0.00152524999975867,1,jh,CR
1,1,1,35,1,0.00122262500008219,1,jh,CR
0,2,2,35,1,0.0012245840007381,0,jh,MI
1,2,1,23,1,0.00128666599994176,0,jh,MI
0,1,6,35,1,0.00122474999989208,1,jh,CR
0,1,1,11,1,0.00120787500054576,1,jh,CR
1,2,3,35,1,0.00122329199984961,0,jh,MI
1,1,4,23,2,0.00138037500073551,0,jh,FA
1,1,3,23,1,0.00121279199993296,1,jh,CR
1,1,2,23,1,0.00125774999833084,1,jh,CR
0,2,4,35,1,0.00148833300045226,0,jh,MI
1,1,2,23,1,0.00121470900012355,1,jh,CR
0,1,5,35,2,0.00123566699949151,0,jh,FA
0,1,3,11,1,0.00146583300011116,1,jh,CR
0,1,4,35,1,0.00121670900080062,1,jh,CR
0,1,6,23,1,0.00121816600039892,1,jh,CR
0,1,3,23,1,0.00126358399938908,1,jh,CR
1,2,1,35,1,0.0012957919989276,0,jh,MI
0,1,5,11,2,0.00122137499965902,0,jh,FA
0,2,3,35,1,0.00124137500097277,0,jh,MI
1,2,5,11,2,0.00123195900050632,1,jh,HI
0,1,2,23,2,0.00128445800146437,0,jh,FA
0,1,5,35,1,0.00126637500034121,1,jh,CR
0,1,2,35,1,0.0013055829986115,1,jh,CR
0,1,6,11,1,0.00122141700012435,1,jh,CR
1,1,6,23,2,0.00137200000062876,0,jh,FA
0,1,6,35,1,0.00135770800079626,1,jh,CR
1,2,6,35,1,0.00135662499997125,0,jh,MI
0,2,1,23,1,0.00129879199994321,0,jh,MI
1,1,4,23,1,0.00123487500059127,1,jh,CR
1,1,5,11,1,0.00122379200001888,1,jh,CR
1,1,1,35,1,0.00128029199913726,1,jh,CR
0,1,5,35,1,0.00126445800015063,1,jh,CR
0,2,6,23,1,0.00121766700067383,0,jh,MI
0,2,1,11,1,0.00146579099964583,0,jh,MI
1,1,1,23,1,0.00141700000131095,1,jh,CR
0,1,5,23,1,0.00124750000031781,1,jh,CR
0,1,3,35,1,0.00142899999991641,1,jh,CR
0,1,6,23,1,0.00120362499910698,1,jh,CR
0,2,5,35,1,0.00136595900039538,0,jh,MI
1,2,1,11,1,0.0012494999991759,0,jh,MI
0,1,1,35,1,0.00120833399887488,1,jh,CR
0,2,4,11,1,0.00146449999920151,0,jh,MI
0,2,1,23,1,0.00124529099957726,0,jh,MI
0,2,4,23,1,0.0012183750004624,0,jh,MI
0,1,4,23,1,0.00150391600072908,1,jh,CR
0,2,2,23,1,0.00122220899902459,0,jh,MI
1,1,6,35,1,0.00120108400005847,1,jh,CR
0,1,5,11,1,0.00126262500089069,1,jh,CR
1,2,5,23,1,0.00125362499966286,0,jh,MI
0,2,6,35,1,0.00135795899950608,0,jh,MI
1,1,4,11,1,0.00121029100046144,1,jh,CR
0,1,1,35,1,0.00126350000027742,1,jh,CR
1,2,5,35,1,0.00127229200006695,0,jh,MI
0,2,6,11,1,0.00123449999955483,0,jh,MI
0,2,2,35,1,0.00144629200076452,0,jh,MI
0,2,6,11,1,0.00131633400087594,0,jh,MI
1,1,3,23,1,0.00135475000024599,1,jh,CR
1,1,1,35,1,0.00127033299941104,1,jh,CR
0,1,4,23,1,0.00124537500050792,1,jh,CR
0,2,5,35,2,0.0012057919993822,1,jh,HI
1,2,5,35,2,0.00123237499974493,1,jh,HI
1,1,6,35,2,0.00125516599837283,0,jh,FA
1,2,6,11,1,0.00122008299877052,0,jh,MI
1,2,2,23,1,0.00129358400045021,0,jh,MI
0,2,6,11,1,0.00119241699940176,0,jh,MI
0,1,1,23,1,0.00134533399977954,1,jh,CR
0,2,2,11,1,0.00132570799905807,0,jh,MI
1,2,1,11,1,0.00123249999887776,0,jh,MI
0,2,1,35,1,0.00126075000116543,0,jh,MI
1,2,6,11,1,0.00147487499998533,0,jh,MI
0,2,4,23,1,0.0015107920007722,0,jh,MI
1,2,2,11,1,0.00118324999857577,0,jh,MI
1,2,5,11,1,0.00118420800026797,0,jh,MI
0,2,1,23,1,0.00120508399959363,0,jh,MI
1,1,6,11,1,0.00120091700046032,1,jh,CR
1,2,2,35,1,0.00119524999900023,0,jh,MI
1,2,4,35,1,0.00119779200031189,0,jh,MI
1,2,3,23,1,0.00135399999999208,0,jh,MI
0,1,2,23,1,0.00131695799973386,1,jh,CR
0,1,5,23,1,0.00119375000031141,1,jh,CR
1,1,4,35,1,0.0013217080013419,1,jh,CR
0,2,4,23,1,0.00124275000052876,0,jh,MI
0,2,2,11,1,0.00124304199925973,0,jh,MI
1,2,6,23,2,0.0012359579995973,1,jh,HI
1,1,6,23,1,0.0013593329986179,1,jh,CR
1,1,2,11,2,0.00145874999907392,0,jh,FA
0,2,5,11,1,0.00135370799944212,0,jh,MI
1,1,3,35,1,0.00124295800014806,1,jh,CR
1,1,3,11,2,0.00124804199913342,0,jh,FA
1,2,3,11,1,0.00140287499925762,0,jh,MI
0,2,5,23,1,0.00127116600015142,0,jh,MI
1,1,6,11,1,0.00125104099970486,1,jh,CR
0,1,1,23,1,0.00126904199896671,1,jh,CR
1,2,3,11,2,0.00121670800035645,1,jh,HI
0,1,3,35,1,0.00127129100110324,1,jh,CR
1,2,4,23,1,0.00127258300017274,0,jh,MI
1,2,4,35,1,0.00119550000090385,0,jh,MI
1,1,3,11,2,0.00138295900069352,0,jh,FA
1,2,3,23,1,0.00135891599893512,0,jh,MI
0,2,6,23,2,0.00120224999955099,1,jh,HI
1,2,2,35,1,0.00119749999976193,0,jh,MI
0,1,1,23,1,0.00122637499953271,1,jh,CR
0,1,4,11,1,0.00121258400031365,1,jh,CR
1,2,2,23,1,0.00126220799938892,0,jh,MI
0,1,6,35,1,0.00121666599989112,1,jh,CR
0,2,4,11,1,0.00125441700038209,0,jh,MI
1,2,6,35,1,0.00135599999885017,0,jh,MI
0,2,5,23,1,0.00125870800002303,0,jh,MI
1,2,1,11,1,0.00134966699988581,0,jh,MI
0,1,4,35,2,0.00118858299902058,0,jh,FA
1,1,5,11,1,0.00121450000006007,1,jh,CR
1,1,2,11,1,0.00121141700037697,1,jh,CR
0,2,2,11,1,0.0012949159990967,0,jh,MI
0,2,4,35,1,0.00119520800035389,0,jh,MI
0,2,3,35,1,0.0012545420013339,0,jh,MI
0,2,5,35,1,0.00143374999970547,0,jh,MI
1,2,3,35,1,0.00120454099851486,0,jh,MI
0,1,3,23,1,0.00119937499948719,1,jh,CR
0,2,5,11,1,0.00125437499991676,0,jh,MI
1,1,2,35,1,0.00120779199824028,1,jh,CR
1,2,1,35,1,0.00127700000120967,0,jh,MI
1,2,6,11,1,0.00138366700048209,0,jh,MI
1,2,2,11,1,0.00125587500042457,0,jh,MI
0,2,4,35,1,0.00124820800010639,0,jh,MI
1,1,4,11,1,0.00138645799961523,1,jh,CR
0,2,6,35,1,0.0012259159993846,0,jh,MI
1,1,6,11,1,0.00122408300012466,1,jh,CR
0,2,2,23,1,0.00121579099868541,0,jh,MI
1,2,4,23,1,0.00146208399928582,0,jh,MI
0,1,5,23,1,0.00125074999959907,1,jh,CR
1,2,2,35,1,0.00122766700042121,0,jh,MI
0,1,6,11,1,0.00127416600116703,1,jh,CR
1,1,5,35,1,0.00125316699995892,1,jh,CR
1,2,5,35,1,0.00124024999968242,0,jh,MI
1,2,6,23,1,0.00135145800049941,0,jh,MI
1,1,1,11,1,0.00120758299999579,1,jh,CR
0,1,4,11,1,0.0012109999988752,1,jh,CR
0,2,1,35,1,0.00148141699901316,0,jh,MI
1,2,5,23,1,0.00124058300025354,0,jh,MI
0,1,6,11,2,0.00119841599916981,0,jh,FA
1,1,5,11,1,0.00120570899889572,1,jh,CR
1,2,4,11,2,0.00123120799980825,1,jh,HI
0,2,2,23,2,0.00122962500063295,1,jh,HI
1,2,6,23,1,0.00121870799921453,0,jh,MI
0,1,3,35,1,0.00120662500012259,1,jh,CR
1,1,4,23,1,0.00120066700037569,1,jh,CR
1,1,2,35,1,0.00122404099965934,1,jh,CR
1,1,6,23,1,0.00120116600010078,1,jh,CR
0,1,2,11,1,0.00128962499911722,1,jh,CR
0,2,1,11,1,0.00124787499953527,0,jh,MI
0,2,3,23,1,0.00121050000052492,0,jh,MI
0,2,5,23,1,0.00121704100092757,0,jh,MI
1,1,5,23,1,0.00128170799871441,1,jh,CR
0,1,4,23,1,0.00153287500143051,1,jh,CR
0,2,1,11,1,0.00127970800167532,0,jh,MI
0,1,2,11,1,0.0012062080004398,1,jh,CR
0,1,3,11,1,0.00147662500057777,1,jh,CR
0,1,2,35,1,0.00132108300022082,1,jh,CR
1,2,4,11,1,0.00119333399925381,0,jh,MI
0,1,3,11,1,0.00130975000138278,1,jh,CR
0,2,3,35,1,0.00120250000145461,0,jh,MI
0,2,3,23,1,0.00124812500143889,0,jh,MI
1,1,3,35,1,0.00121225000111735,1,jh,CR
1,1,5,23,2,0.00122279199968034,0,jh,FA
0,1,2,23,1,0.00135862500064832,1,jh,CR
0,1,2,11,2,0.00121975000001839,0,jh,FA
1,2,4,35,1,0.0012618749988178,0,jh,MI
1,1,4,35,1,0.00139883399970131,1,jh,CR
0,1,1,35,1,0.00141808300031698,1,jh,CR
1,1,4,35,1,0.00119737499881012,1,jh,CR
1,2,1,35,1,0.00120920799963642,0,jh,MI
1,1,2,23,1,0.00138858299942513,1,jh,CR
0,2,3,23,1,0.00127387500106124,0,jh,MI
1,1,2,35,2,0.00130533399897104,0,jh,FA
1,1,1,11,1,0.00124779099860461,1,jh,CR
0,2,3,11,1,0.00120058300126402,0,jh,MI
0,2,4,11,1,0.00120366699957231,0,jh,MI
1,2,1,23,1,0.00119670899948687,0,jh,MI
1,1,6,35,1,0.00122533399917302,1,jh,CR
0,1,5,11,1,0.00121279199993296,1,jh,CR
1,2,1,23,1,0.0012134580010752,0,jh,MI
0,1,2,35,1,0.00124062500071886,1,jh,CR
1,2,2,11,1,0.00122891699902539,0,jh,MI
1,2,4,11,1,0.00145887500002573,0,jh,MI
1,1,5,35,1,0.00153887499982375,1,jh,CR
1,1,5,23,1,0.00135729199973866,1,jh,CR
0,2,3,11,1,0.00120608299948799,0,jh,MI
0,1,6,23,1,0.00124350000078266,1,jh,CR
1,1,5,35,1,0.00120466699991084,1,jh,CR
0,2,3,11,1,0.00125204100004339,0,jh,MI
0,2,5,11,1,0.00122745800035773,0,jh,MI
1,1,2,11,1,0.00120400000014342,1,jh,CR
0,2,6,35,1,0.00121162499999627,0,jh,MI
0,1,4,35,1,0.00125233300059335,1,jh,CR
1,1,1,23,1,0.00120537499969942,1,jh,CR
0,1,1,11,1,0.00119254200035357,1,jh,CR
1,1,3,35,1,0.00121662499986996,1,jh,CR
1,2,2,23,1,0.00127124999926309,0,jh,MI
1,2,3,35,1,0.00139141699946776,0,jh,MI
1,2,3,11,1,0.00123899999925925,0,jh,MI
0,2,1,35,1,0.00126312499924097,0,jh,MI
1,2,6,35,1,0.00121329099965806,0,jh,MI
0,1,4,11,1,0.0011951249998674,1,jh,CR
1,1,3,23,1,0.0013817500002915,1,jh,CR
1,2,3,23,1,0.00126229200031958,0,jh,MI
1,1,1,23,1,0.00136529200062796,1,jh,CR
1,1,1,11,1,0.0013017499986745,1,jh,CR
1,2,4,23,1,0.00120950000018638,0,jh,MI
1,1,3,11,1,0.00134695899942017,1,jh,CR
1,2,5,11,1,0.00136087500141002,0,jh,MI
1,1,5,35,1,0.00164616699998987,1,nk,CR
0,2,3,35,2,0.00476991599998655,1,nk,HI
0,2,4,35,2,0.00194679100013673,1,nk,HI
0,2,5,23,1,0.00148641700002372,0,nk,MI
1,1,2,11,2,0.00296949999983553,0,nk,FA
0,2,2,11,2,0.00141345799988812,1,nk,HI
0,2,5,11,2,0.001788667000028,1,nk,HI
0,2,6,11,2,0.00135045899992292,1,nk,HI
0,1,3,23,2,0.00120762500000637,0,nk,FA
0,2,1,23,2,0.00119741599996814,1,nk,HI
0,2,3,23,2,0.00115770799993697,1,nk,HI
0,2,1,11,1,0.0012475829998948,0,nk,MI
0,1,1,23,1,0.00131608299989239,1,nk,CR
1,1,4,23,1,0.00173449999988406,1,nk,CR
1,1,4,11,1,0.0013622920000671,1,nk,CR
1,1,2,11,1,0.00124708399994233,1,nk,CR
1,2,1,11,1,0.0011435410001468,0,nk,MI
0,2,1,35,2,0.00122445900001367,1,nk,HI
0,2,6,23,2,0.00117887500005054,1,nk,HI
0,1,2,35,2,0.00146833299982063,0,nk,FA
1,1,5,11,2,0.00121316600007049,0,nk,FA
0,1,6,11,2,0.00116575000015473,0,nk,FA
1,2,1,11,2,0.00115620900010072,1,nk,HI
0,1,2,11,2,0.00115433300015866,0,nk,FA
0,1,1,35,2,0.00141370799997276,0,nk,FA
0,2,2,35,2,0.00113874999988184,1,nk,HI
0,2,2,11,2,0.0013446660000227,1,nk,HI
1,2,4,11,2,0.00121279099994354,1,nk,HI
1,2,5,23,2,0.00118620900002497,1,nk,HI
0,1,6,11,2,0.00120895800000653,0,nk,FA
1,2,5,23,2,0.00115720799999508,1,nk,HI
1,2,3,35,2,0.00146691699978874,1,nk,HI
1,2,5,35,2,0.00119054199990387,1,nk,HI
1,1,3,11,2,0.00120587500009606,0,nk,FA
0,1,4,23,2,0.00119387499989898,0,nk,FA
0,2,4,23,2,0.00118620800003555,1,nk,HI
1,1,6,35,2,0.00123716600000989,0,nk,FA
0,2,5,35,2,0.00116037499992672,1,nk,HI
0,2,5,23,2,0.00119679199997336,1,nk,HI
0,2,4,35,2,0.00119583300011072,1,nk,HI
1,2,3,11,2,0.00129991699986931,1,nk,HI
1,1,2,35,1,0.00119095800005198,1,nk,CR
0,1,2,23,1,0.00115112499997849,1,nk,CR
1,1,3,35,2,0.00135766600010356,0,nk,FA
1,1,2,11,1,0.00117766699986532,1,nk,CR
1,2,6,35,1,0.0011845839999296,0,nk,MI
0,1,2,23,2,0.00117945800002417,0,nk,FA
1,2,5,11,2,0.00115320800000518,1,nk,HI
1,2,2,35,2,0.00120612499995332,1,nk,HI
1,1,2,23,1,0.00116745900004389,1,nk,CR
1,2,6,11,1,0.00139870899988637,0,nk,MI
0,2,3,35,2,0.00118358399981844,1,nk,HI
0,1,1,35,2,0.00113858399981837,0,nk,FA
0,1,2,35,1,0.00116666700000678,1,nk,CR
0,2,1,11,1,0.0011706249999861,0,nk,MI
0,1,1,23,1,0.00141541600009987,1,nk,CR
0,1,2,35,1,0.00116170800015425,1,nk,CR
1,2,6,35,2,0.00117508400012412,1,nk,HI
1,2,3,23,2,0.0011985830001322,1,nk,HI
1,2,6,11,2,0.00115474999984144,1,nk,HI
1,2,1,35,2,0.0012019999999211,1,nk,HI
0,2,6,23,2,0.00121779200003402,1,nk,HI
1,2,3,23,2,0.00117449999993369,1,nk,HI
1,1,5,35,2,0.00119454199989377,0,nk,FA
0,2,5,35,2,0.00116249999996398,1,nk,HI
0,1,3,11,2,0.00118383300014102,0,nk,FA
0,1,5,23,2,0.00114066599985563,0,nk,FA
1,1,1,23,1,0.001170792000039,1,nk,CR
1,2,5,23,1,0.00120204099994226,0,nk,MI
1,1,6,11,1,0.00119225000003098,1,nk,CR
0,2,5,11,2,0.00119954100000541,1,nk,HI
1,1,1,23,1,0.00133424999989984,1,nk,CR
0,2,4,11,2,0.00117175000013958,1,nk,HI
0,1,5,11,2,0.00121116700006496,0,nk,FA
1,2,2,11,2,0.00113779200000863,1,nk,HI
0,1,2,11,1,0.00120333299992126,1,nk,CR
1,2,3,11,1,0.00116304199991646,0,nk,MI
1,2,6,23,2,0.0012960409999323,1,nk,HI
0,1,3,35,1,0.00134562499988533,1,nk,CR
0,2,4,11,2,0.00135045800016087,1,nk,HI
1,1,3,11,1,0.00118912500010993,1,nk,CR
0,1,5,35,2,0.00138850000007551,0,nk,FA
1,2,2,11,1,0.00114845900020555,0,nk,MI
0,1,6,23,2,0.00120108400005847,0,nk,FA
1,1,2,35,1,0.00114591700003075,1,nk,CR
0,1,6,35,2,0.00117166599989105,0,nk,FA
0,2,4,11,2,0.00120874999993248,1,nk,HI
1,2,1,23,2,0.00119674999996278,1,nk,HI
0,1,1,11,2,0.00121450000006007,0,nk,FA
0,2,1,23,1,0.00130083299995931,0,nk,MI
0,1,3,11,2,0.00115416700009519,0,nk,FA
0,1,6,23,2,0.0012110830000438,0,nk,FA
1,2,2,23,1,0.00122954200014647,0,nk,MI
1,1,5,23,2,0.00114883299988833,0,nk,FA
1,1,2,23,1,0.00116899999989073,1,nk,CR
1,1,4,35,1,0.00112825000019257,1,nk,CR
1,1,4,23,2,0.00119133299995156,0,nk,FA
1,1,5,35,1,0.00426704200003769,1,nk,CR
1,1,1,35,1,0.0011979999999312,1,nk,CR
0,2,6,35,1,0.00113129199985451,0,nk,MI
0,2,3,23,2,0.00122899999996662,1,nk,HI
1,2,5,35,1,0.00121358299998064,0,nk,MI
0,1,3,23,2,0.00137354200001027,0,nk,FA
0,1,5,23,1,0.0011589579999054,1,nk,CR
1,1,5,11,2,0.00118937499996719,0,nk,FA
0,1,4,35,2,0.00117762500008212,0,nk,FA
1,1,4,11,2,0.00120400000014342,0,nk,FA
0,1,4,23,2,0.00121779200003402,0,nk,FA
1,2,1,23,2,0.00116825000009158,1,nk,HI
1,2,3,35,1,0.00130212499993831,0,nk,MI
1,1,6,23,1,0.00118062499996086,1,nk,CR
1,1,6,35,1,0.00115529200002129,1,nk,CR
1,2,6,35,1,0.00115179199997328,0,nk,MI
0,2,5,23,2,0.00115133299982517,1,nk,HI
0,2,1,35,2,0.00116924999997536,1,nk,HI
1,2,2,35,2,0.00124695800013797,1,nk,HI
1,1,3,35,2,0.00123120900002505,0,nk,FA
0,1,3,23,1,0.00123050000001967,1,nk,CR
1,1,1,11,2,0.00113383400002931,0,nk,FA
1,2,5,11,1,0.00126683300004515,0,nk,MI
0,1,4,35,2,0.00118220800004565,0,nk,FA
1,2,5,11,1,0.00130650000005517,0,nk,MI
1,2,4,11,1,0.00129170900004283,0,nk,MI
0,1,6,35,2,0.00116120799998498,0,nk,FA
0,2,3,11,2,0.00115816699985771,1,nk,HI
0,2,3,11,2,0.00116587499996967,1,nk,HI
1,2,4,35,2,0.00121995799986507,1,nk,HI
0,1,4,23,2,0.00114912499998354,0,nk,FA
1,2,2,23,2,0.001208540999869,1,nk,HI
1,2,4,35,2,0.00120558399999027,1,nk,HI
0,2,6,11,2,0.00138462499990055,1,nk,HI
0,1,3,11,2,0.00140270800011422,0,nk,FA
1,2,6,11,2,0.0011452090000148,1,nk,HI
1,2,4,23,1,0.00118587499991918,0,nk,MI
1,1,3,23,2,0.00117266700021901,0,nk,FA
0,1,2,23,2,0.00142191700001604,0,nk,FA
1,2,1,35,2,0.00120358300000589,1,nk,HI
1,1,4,35,2,0.00116970900012348,0,nk,FA
0,2,6,23,2,0.0011787920000188,1,nk,HI
0,2,5,35,2,0.0011989590000212,1,nk,HI
0,2,6,35,2,0.0011818329999187,1,nk,HI
1,1,6,23,2,0.00129929099989567,0,nk,FA
0,2,4,23,1,0.00120291700000053,0,nk,MI
